State,Facility Name,Facility ID,Unit ID,Associated Stacks,Date,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
PA,Scrubgrass Generating Plant,50974,1,,5/25/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/26/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/27/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/28/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/29/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/30/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,5/31/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/1/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/2/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/3/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/4/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/5/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/6/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/7/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/8/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/9/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/10/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/11/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/12/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/13/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/14/21,23,22.48,,2401.85,8.41,6.8557,496.991,0.0889,0.38,0.1289,5145.877,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/15/21,24,24,,6136,0.65,0.1245,1074.5,0.101,0.849,0.1597,10655.4,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/16/21,24,22.97,,4742.95,2.84,3.3691,722.778,0.1009,0.979,0.2451,7167.51,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/17/21,24,24,,6888,2.36,0.3897,1223,0.101,0.9,0.148,12129,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/18/21,24,24,,8045,2.54,0.3518,1434.4,0.101,0.749,0.1052,14223.2,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/19/21,24,24,,6848,1.715,0.2955,1171.5,0.101,0.685,0.1192,11617.6,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/20/21,24,24,,6225,1.543,0.2877,1050.1,0.101,0.789,0.1596,10414.3,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/21/21,23,22.53,,6605.57,1.921,0.3418,1108.421,0.101,0.832,0.1568,10991.303,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/22/21,11,10.13,,2649,4.507,1.7565,485.346,0.1009,0.403,0.1567,4816.234,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/23/21,18,17.4,,4521,0.957,0.2287,810.56,0.101,0.725,0.1988,8039.44,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/24/21,8,7.32,,1560.12,0.312,0.2179,308.384,0.101,0.214,0.136,3059.146,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/25/21,24,24,,6731,1.313,0.2176,1219.4,0.101,0.857,0.1418,12091.5,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/26/21,24,24,,6158,1.124,0.2103,1075,0.101,0.796,0.1498,10660,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/27/21,24,24,,6881,1.905,0.2852,1221.1,0.101,0.86,0.1443,12108.5,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/28/21,24,24,,7476,2.327,0.3245,1357.4,0.101,0.915,0.1395,13462.8,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/29/21,24,24,,6750,1.688,0.254,1244.1,0.101,0.79,0.1337,12338.1,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,6/30/21,24,24,,6340,1.815,0.3061,1198.2,0.101,0.864,0.1448,11881.8,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/1/21,24,24,,7217,1.737,0.2619,1343.5,0.101,1.103,0.1667,13325.1,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/2/21,24,24,,5859,1.055,0.2162,1010.4,0.101,0.851,0.1714,10020,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/3/21,24,24,,6035,1.236,0.2397,1050.9,0.101,0.897,0.1733,10423.8,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/4/21,24,24,,5859,1.156,0.206,1007.5,0.101,0.938,0.1939,9993,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/5/21,24,24,,6036,1.052,0.1952,1051,0.101,0.967,0.1948,10426,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/6/21,24,24,,7310,2.085,0.3079,1304.7,0.101,0.686,0.1147,12939.5,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/7/21,8,7.4,,1860.13,2.327,2.992,340.714,0.101,0.123,0.0765,3378.914,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/8/21,2,0.82,,140.38,1.075,13.107,28.546,0.101,0.01,0.0805,283.228,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/9/21,11,10.22,,465.77,9.459,12.7292,69.59,0.1013,0.239,0.1945,689.401,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/10/21,24,23.13,,2755.83,0.534,0.1794,558.296,0.0989,0.374,0.0772,5538.322,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/11/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/12/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/13/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/14/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,7/15/21,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
