Open,Close,High,Low,Volume,Date
0,101.65,0,0,,10/03/18
102.25,101.2,103,102.25,,10/02/18
101,101.8,101.4,101,,10/01/18
100.35,100.95,100.35,100.35,,09/28/18
100.2,100.35,100.3,100.2,,09/27/18
0,100.3,0,0,,09/26/18
0,100.3,0,0,,09/25/18
0,100.35,0,0,,09/24/18
0,100.3,0,0,,09/21/18
0,99.65,0,0,,09/20/18
99.4,100.3,100,99.4,,09/19/18
98.2,98.65,98.9,98.2,,09/18/18
99.3,99.35,99.3,99.3,,09/17/18
0,99.5,0,0,,09/14/18
0,100.4,0,0,,09/13/18
0,100.5,0,0,,09/12/18
0,100.95,0,0,,09/11/18
99.6,100.25,100.4,99.6,,09/10/18
101,99.75,101,100.9,,09/07/18
101,101,101,101,,09/06/18
100.4,101.45,101,100.4,,09/05/18
100.5,100.75,100.75,100.4,,09/04/18
98.6,99.3,99.4,98.6,,09/03/18
0,98.8,0,0,,08/31/18
0,97.9,0,0,,08/30/18
0,97.9,0,0,,08/29/18
0,97.6,0,0,,08/28/18
0,98,0,0,,08/27/18
0,97,0,0,,08/24/18
97.1,96.95,97.1,96.85,,08/23/18
96.8,96.9,96.8,96.8,,08/22/18
98,97.5,98,97.5,,08/21/18
98.5,98.2,98.5,98,,08/20/18
0,98.2,0,0,,08/17/18
0,97.85,0,0,,08/16/18
0,97.6,0,0,,08/15/18
0,98.2,0,0,,08/14/18
97.3,97.6,97.75,97.3,,08/13/18
96.5,96.85,97,96.5,,08/10/18
96.45,96.45,96.6,96.45,,08/09/18
97.5,96.4,97.5,96.75,,08/08/18
96.5,96.75,96.75,96.5,,08/07/18
95,96.05,96,95,,08/06/18
94.5,94.45,94.65,94,,08/03/18
94.5,94.75,94.65,94.5,,08/02/18
95,95.15,95.2,94.95,,08/01/18
94.7,95.1,95.1,94.65,,07/31/18
94.9,94.8,94.9,94.75,,07/30/18
0,94.7,0,0,,07/27/18
0,101,0,0,,07/26/18
0,100.95,0,0,,07/25/18
0,100.9,0,0,,07/24/18
0,100.75,0,0,,07/23/18
0,100.15,0,0,,07/20/18
0,100.95,0,0,,07/19/18
0,101.85,0,0,,07/18/18
0,100.8,0,0,,07/17/18
0,100.7,0,0,,07/16/18
0,101.4,0,0,,07/13/18
102,101.55,102,101.75,,07/12/18
0,102.6,0,0,,07/11/18
102.3,102.2,102.5,102.25,,07/10/18
101.5,101.95,101.5,101.5,,07/09/18
100.15,100.2,100.15,100.15,,07/06/18
99.5,100.4,100.75,99.5,,07/05/18
0,99.75,0,0,,07/04/18
99.25,99.4,99.25,99.25,,07/03/18
98.15,98.75,99.5,98.15,,07/02/18
0,98.15,0,0,,06/29/18
0,96,0,0,,06/28/18
0,96,0,0,,06/27/18
0,96.05,0,0,,06/26/18
0,96.1,0,0,,06/25/18
0,96,0,0,,06/22/18
96,96,96,96,,06/21/18
0,96.6,0,0,,06/20/18
97,97,97,97,,06/19/18
0,96.8,0,0,,06/18/18
0,96.5,0,0,,06/15/18
0,96.75,0,0,,06/14/18
96.8,96.8,96.85,96.8,,06/13/18
96.5,96.85,96.75,96.5,,06/12/18
95.65,96.15,96,95.65,,06/11/18
0,95.5,0,0,,06/08/18
0,95.4,0,0,,06/07/18
95,94.8,95,95,,06/06/18
96.3,94.9,96.3,96.1,,06/05/18
96,95.75,96.5,96,,06/04/18
95.25,95.3,95.4,95,,06/01/18
96.35,95,96.35,95.7,,05/31/18
94.5,95.75,96.35,94.5,,05/30/18
93.05,94.2,94.1,93.05,,05/29/18
0,92.6,0,0,,05/28/18
0,91.6,0,0,,05/25/18
0,89.75,0,0,,05/24/18
0,89.45,0,0,,05/23/18
0,89.65,0,0,,05/22/18
0,89.6,0,0,,05/21/18
0,89.6,0,0,,05/18/18
0,90.2,0,0,,05/17/18
0,89.7,0,0,,05/16/18
0,89.5,0,0,,05/15/18
0,89.65,0,0,,05/14/18
0,88.45,0,0,,05/11/18
88,88.1,88,88,,05/10/18
0,87.1,0,0,,05/09/18
86.75,86.75,86.75,86.75,,05/08/18
0,85.25,0,0,,05/07/18
85.4,85.25,85.4,85.4,,05/04/18
85.1,85.2,85.1,85.1,,05/03/18
85,85.1,85,84.9,,05/02/18
0,85.3,0,0,,05/01/18
85.25,85.2,85.25,85.25,,04/30/18
0,84.6,0,0,,04/27/18
0,81.7,0,0,,04/26/18
