DATE,CBBTCUSD
9/22/17,3619.01
9/23/17,3787.33
9/24/17,3669.01
9/25/17,3919.78
9/26/17,3885.09
9/27/17,4200
9/28/17,4189.42
9/29/17,4156.99
9/30/17,4339
10/1/17,4394.81
10/2/17,4392.71
10/3/17,4307.99
10/4/17,4214.84
10/5/17,4320.04
10/6/17,4362.99
10/7/17,4425
10/8/17,4603.49
10/9/17,4769.55
10/10/17,4750
10/11/17,4814.99
10/12/17,5440
10/13/17,5624.8
10/14/17,5819.13
10/15/17,5693.7
10/16/17,5754.9
10/17/17,5594
10/18/17,5574.44
10/19/17,5704.01
10/20/17,5989.1
10/21/17,6024.86
10/22/17,6005.05
10/23/17,5905.99
10/24/17,5525.43
10/25/17,5739.97
10/26/17,5891.61
10/27/17,5780
10/28/17,5752.01
10/29/17,6140.01
10/30/17,6124.16
10/31/17,6445.01
11/1/17,6783.69
11/2/17,7039.98
11/3/17,7170.01
11/4/17,7412.55
11/5/17,7392
11/6/17,6969.76
11/7/17,7126.63
11/8/17,7467.96
11/9/17,7156
11/10/17,6577.62
11/11/17,6346.7
11/12/17,5886.35
11/13/17,6535.87
11/14/17,6605
11/15/17,7294
11/16/17,7838.53
11/17/17,7714.71
11/18/17,7777.01
11/19/17,8031.82
11/20/17,8256.01
11/21/17,8109
11/22/17,8250
11/23/17,8031.16
11/24/17,8215.01
11/25/17,8795.5
11/26/17,9401.11
11/27/17,9768.71
11/28/17,9949
11/29/17,9935.98
11/30/17,9903
12/1/17,10869.84
12/2/17,10930.24
12/3/17,11290
12/4/17,11643.98
12/5/17,11718.35
12/6/17,14090
12/7/17,17390.01
12/8/17,16367.03
12/9/17,15309.98
12/10/17,15290.01
12/11/17,16885.76
12/12/17,17730.12
12/13/17,16689.61
12/14/17,16749.78
12/15/17,17738.67
12/16/17,19650.01
12/17/17,19378.99
12/18/17,19039.01
12/19/17,17838.73
12/20/17,16496.89
12/21/17,15758.8
12/22/17,14210.57
12/23/17,15075.89
12/24/17,14221.94
12/25/17,14171.98
12/26/17,15790.88
12/27/17,15367.08
12/28/17,14450.01
12/29/17,14565.05
12/30/17,12839.99
12/31/17,13863.13
1/1/18,13480.01
1/2/18,14781.51
1/3/18,15098.14
1/4/18,15144.99
1/5/18,16960.01
1/6/18,17098.99
1/7/18,16174.22
1/8/18,14993.74
1/9/18,14480.99
1/10/18,14875.18
1/11/18,13308.06
1/12/18,13820
1/13/18,14187.95
1/14/18,13656.23
1/15/18,13590
1/16/18,11570.01
1/17/18,11200.01
1/18/18,11305.53
1/19/18,11498.99
1/20/18,12762.8
1/21/18,11518.17
1/22/18,10766.7
1/23/18,10824.94
1/24/18,11356.79
1/25/18,11118
1/26/18,11086.89
1/27/18,11319
1/28/18,11536
1/29/18,11123.01
1/30/18,9995
1/31/18,10099.99
2/1/18,9014.23
2/2/18,8787.52
2/3/18,9240
2/4/18,8167.91
2/5/18,6905.19
2/6/18,7688.46
2/7/18,7575.75
2/8/18,8218.1
2/9/18,8671.01
2/10/18,8547.49
2/11/18,8072.99
2/12/18,8872.28
2/13/18,8520.01
2/14/18,9472.98
2/15/18,10031.23
2/16/18,10167.49
2/17/18,11121.5
2/18/18,10380.04
2/19/18,11140
2/20/18,11235.57
2/21/18,10454.27
2/22/18,9830
2/23/18,10144.99
2/24/18,9688.62
2/25/18,9597.99
2/26/18,10300
2/27/18,10566.57
2/28/18,10307.27
3/1/18,10895.92
3/2/18,11000
3/3/18,11432.5
3/4/18,11469.9
3/5/18,11377.54
3/6/18,10700
3/7/18,9920
3/8/18,9304.9
3/9/18,9255
3/10/18,8795.44
3/11/18,9533.88
3/12/18,9120
3/13/18,9145.41
3/14/18,8207.03
3/15/18,8259.99
3/16/18,8275
3/17/18,7865.02
3/18/18,8192
3/19/18,8589
3/20/18,8900
3/21/18,8891.81
3/22/18,8715.09
3/23/18,8927.1
3/24/18,8531.34
3/25/18,8453
3/26/18,8145
3/27/18,7793.61
3/28/18,7942.72
3/29/18,7079.99
3/30/18,6848.01
3/31/18,6928.5
4/1/18,6816.01
4/2/18,7045.01
4/3/18,7424.9
4/4/18,6791.68
4/5/18,6785.85
4/6/18,6619.01
4/7/18,6894.01
4/8/18,7020.01
4/9/18,6771.13
4/10/18,6824.99
4/11/18,6942.99
4/12/18,7916
4/13/18,7893.19
