"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"MD","Herbert A Wagner",1554,2012,1250484.52,,7472.987,1304106.468,1483.534,12710614.843
"MD","R. Paul Smith Power Station",1570,2012,90572.82,,558.66,92982.151,167.211,906264.251
"MD","Chalk Point",1571,2012,1987473.72,,4646.567,2037414.551,2340.026,20277459.835
"MD","Dickerson",1572,2012,1219351.8,,817.8,1155145.912,1439.344,11258702.402
"MD","Morgantown",1573,2012,5628972.77,,2930.261,5212153.52,801.85,50801846.82
"MA","Mount Tom",1606,2012,121786,,133.602,151659.525,73.826,1478188.975
"MA","Brayton Point",1619,2012,2100914,,9121.156,1931380.475,1280.969,19179882
"MA","Salem Harbor Station",1626,2012,256254.72,,1504.655,278658.11,109.64,2716004.882
"MI","B C Cobb",1695,2012,1706358.08,,6091.514,1699124.443,2201.682,16200652.943
"MI","Dan E Karn",1702,2012,2422772.99,,6779.576,2453597.281,2160.303,23394338.44
"MI","J H Campbell",1710,2012,8274454.55,,21501.188,8649174.251,6594.049,82467369.72
"MI","J C Weadock",1720,2012,1707800.97,,6654.81,1654195.625,2387.346,15772312.163
"MI","J R Whiting",1723,2012,1452654.94,,4885.277,1605565.773,1853.779,15308625.937
"MI","Harbor Beach",1731,2012,87962.22,,587.742,106544.954,280.39,1015879.441
"MI","Monroe",1733,2012,16668343.9,,49150.616,16638859.371,13309.16,158646594.393
"MI","River Rouge",1740,2012,,17416965.79,8202.34,2324231.892,2543.603,23100105.686
"MI","St. Clair",1743,2012,5985025.71,,28208.476,6326421.868,7852.148,60320659.934
"MI","Trenton Channel",1745,2012,,28514036.69,22426.038,3900209.285,4487.247,37187316.668
"MI","Presque Isle",1769,2012,2120770.95,,6028.223,2464370.206,3695.012,23497203.112
"MI","J B Sims",1825,2012,281245.1,,286.778,261490.71,328.31,2548612.011
"MI","James De Young",1830,2012,11573.03,,58.564,16791.076,31.715,160461.29
"MI","Eckert Station",1831,2012,997548.53,,3677.073,1338017.994,1448.04,12757638.071
"MI","Erickson",1832,2012,750098.52,,2685.382,878016.306,920.304,8371636.535
"MI","Shiras",1843,2012,297728,,250.8,377496.1,298.705,3599350.8
"MI","Wyandotte",1866,2012,,1540127.48,326.381,218331.762,224.334,2497805.577
"MN","Laskin Energy Center",1891,2012,412255.83,,262.006,514149.49,431.418,4902418.953
"MN","Boswell Energy Center",1893,2012,7910109.36,,4645.027,8535045.596,4625.384,81379196.702
"MN","Hibbard Energy Center",1897,2012,,1765674.55,163.036,297460.029,501.781,2857167.136
"MN","Black Dog",1904,2012,1319536.93,,2796.042,1499907.55,6043.656,14301168.652
"MN","Allen S King",1915,2012,3681980.19,,1637.942,3570472.751,1390.767,34043418.982
"MN","Hoot Lake",1943,2012,692951.75,,2657.562,866359.3,808.779,8260507.075
"MN","Northeast Station",1961,2012,10746.71,,4.018,8915.217,13.868,86902.618
"MN","Silver Lake",2008,2012,7392.28,,8.943,8160.835,11.216,90280.342
"MS","Watson Electric Generating Plant",2049,2012,2060674.25,,23117.267,1894950.425,3603.449,19552624.75
"MO","Asbury",2076,2012,1279415.34,,6261.08,1447182.184,1254.815,13798472.302
"MO","Hawthorn",2079,2012,3919945.67,,1576.022,3955691.274,1348.87,37731155.384
"MO","Montrose",2080,2012,1958396.73,,6445.198,2176652.501,2530.089,20753790.623
"MO","Sibley",2094,2012,2335710.58,,6094.828,2326261.478,1945.224,22180477.51
"MO","Lake Road",2098,2012,408483.19,,1088.94,432106.944,1395.847,4120031.658
"MO","Labadie",2103,2012,16164542.95,,42234.654,15514284.718,7305.989,147924296.568
"MO","Meramec",2104,2012,4381066.53,,9532.712,4664633.962,3350.87,44475917.02
"MO","Sioux",2107,2012,5329154.09,,2658.454,4949068.431,5877.631,47187954.82
"MO","Columbia",2123,2012,,403175.18,350.954,64035.238,164.52,624152.019
"MO","Blue Valley",2132,2012,39148.93,,1294.837,55188.87,74.211,541789.929
"MO","James River",2161,2012,700009.8,,1587.971,666917.289,758.32,6963546.773
"MO","New Madrid Power Plant",2167,2012,7961838.51,,14399.142,7786162.86,19810.087,74240248.063
"MO","Thomas Hill Energy Center",2168,2012,7507337.31,,15389.307,7826164.139,12528.95,74625064.376
